individual	latitude	longitude	locus1												
3	38	13.26666667	1												
4	38	13.26666667	1												
5	38	13.26666667	1												
6	38	13.26666667	5												
1	37.8	14.11666667	1												
2	37.8	14.11666667	1												
3	37.8	14.11666667	1												
4	37.8	14.11666667	1												
5	37.8	14.11666667	1												
6	37.8	14.11666667	1												
1	38.03333333	14.58333333	1												
2	38.03333333	14.58333333	1												
3	38.03333333	14.58333333	1												
4	38.03333333	14.58333333	1												
5	38.03333333	14.58333333	3												
6	38.03333333	14.58333333	3												
1	36.9	22.26666667	6												
2	36.9	22.26666667	6												
3	36.9	22.26666667	6												
4	36.9	22.26666667	6												
5	36.9	22.26666667	6												
6	36.9	22.26666667	1												
1	37.4	22.1	1												
2	37.4	22.1	1												
3	37.4	22.1	1												
4	37.4	22.1	3												
5	37.4	22.1	3												
6	37.4	22.1	3												
1	36.93333333	22.2	1												
2	36.93333333	22.2	1												
3	36.93333333	22.2	1												
4	36.93333333	22.2	1												
5	36.93333333	22.2	3												
6	36.93333333	22.2	3												
1	37.91666667	22.88333333	1												
2	37.91666667	22.88333333	1												
3	37.91666667	22.88333333	1												
4	37.91666667	22.88333333	1												
5	37.91666667	22.88333333	1												
6	37.91666667	22.88333333	1												
1	35.31666667	24.86666667	10												
2	35.31666667	24.86666667	10												
3	35.31666667	24.86666667	10												
4	35.31666667	24.86666667	10												
5	35.31666667	24.86666667	10												
6	35.31666667	24.86666667	1												
1	35.31666667	24.86666667	4												
2	35.13333333	25.41666667	4												
3	35.13333333	25.41666667	4												
4	35.13333333	25.41666667	4												
5	35.13333333	25.41666667	1												
6	35.13333333	25.41666667	1												
1	35.21666667	24.06666667	1												
2	35.21666667	24.06666667	1												
3	35.21666667	24.06666667	1												
4	35.21666667	24.06666667	1												
5	35.21666667	24.06666667	1												
6	35.21666667	24.06666667	1												
