individual	latitude	longitude	locus1	locus2	locus3	locus4
TA18	63.058611	45.700833	0	1	3	1
TA2	42.702155	9.449575	1	1	1	1
TA21	61.15	58.783333	0	5	1	5
TA22	45.902006	7.253268	0	4	3	4
TA23	45.810455	6.93757	0	1	1	1
TA24	59.65484	12.59213	1	1	3	1
TA25	46.485156	7.266912	1	4	3	4
TA26	46.012687	7.810898	0	3	1	3
TA27	69.616667	20.25	1	1	3	1
TA28	61.765556	15.165833	0	1	3	1
TA29	47.101155	9.610276	1	4	1	4
TA30	44.115	7.479167	4	0	3	0
TA32	46.495278	11.785556	1	4	3	4
TA34	41.022972	21.211083	1	3	1	3
TA35	41.022972	21.2045	1	4	1	4
TA36	40.579472	20.841889	1	4	1	4
TA37	40.523639	20.814667	1	4	1	4
TA38	40.519611	20.848667	1	4	1	4
TA39	40.910722	21.813556	1	1	1	1
TA4	69.196986	21.445451	1	1	1	1
TA40	40.930306	21.785306	1	4	1	4
TA41	46.278631	5.941186	1	4	1	4
TA42	44.900085	4.23882	1	1	1	1
TA43	60.776596	9.6595	0	0	3	0
TA44	49.116692	0.070899	0	1	1	1
TA48	62.128889	13.486111	1	1	3	1
TA5	60.179846	23.160234	0	1	1	1
TA50	66.6094	32.999954	0	4	1	4
TA51	46.969945	11.010311	1	4	3	4
TA52	49.236431	20.266972	1	1	1	1
TA53	46.342839	7.538806	0	1	1	1
TA54	46.386136	7.467241	0	4	1	4
TA55	42.512855	1.682911	0	1	1	1
TA56	42.566483	1.596594	0	1	3	1
TA57	59.275705	18.767967	0	1	3	1
TA58	58.607261	14.882927	1	1	3	1
TA59	70.466667	23.4	1	1	3	1
TA6	60.292522	22.17814	1	4	3	4
TA60	58.176496	14.807739	1	4	3	4
TA61	63.35	13.366667	1	1	3	1
TA62	62.416667	12.716667	1	1	3	1
TA63	62.45	16.00001	1	1	1	1
TA64	60.533855	16.416478	1	1	1	1
TA66	61.4925	14.7125	1	1	1	1
TA67	63.466667	13.316667	1	4	3	4
TA68	70.7846	23.37445	1	1	1	1
TA69	61.650833	15.248889	1	3	3	3
TA7	61.305064	25.602868	0	1	3	1
TA71	79.237185	18.574212	2	1	3	1
TA72	81.383331	-70.916664	0	1	1	1
TA73	81.416664	-76.800003	0	1	1	1
TA75	81.400002	-76.916664	0	1	1	1
TA76	49.00001	-66.000001	1	1	1	1
TA77	48.874	-64.314	1	1	1	1
TA79	48.983333	-123.666667	1	1	1	1
TA8	61.924449	29.027606	1	0	3	0
TA80	48.650002	-123.716667	1	1	1	1
TA81	50.699067	-120.137672	0	2	1	2
TA82	44.216667	-120.666664	1	5	1	5
TA83	42.000001	-123.000001	0	1	1	1
TA84	47.279999	-87.519997	1	2	1	2
TA85	57.183334	-157.25	1	1	1	1
TA86	63.166668	-142.083328	0	1	1	1
TA87	51.739444	-177.877	1	2	1	2
TA88	48.366665	-116.783333	1	5	1	5
TA89	46.062541	6.918333	1	4	1	4
TA9	61.006751	22.385784	1	1	3	1
TA90	46.430049	7.618275	1	4	1	4
TA91	46.215714	7.066898	1	1	1	1
TA92	62.390688	9.096622	0	0	1	0
TA94	60.353	-172.5	3	1	1	1
TA95	60.357	-172.563	3	0	1	0
TA96	55.16666667	-162.427	0	1	1	1
TA97	41.59644444	-123.141	1	1	2	1
TA98	46.11975	-116.90075	1	5	1	5
TA99	46.801	-116.5293333	1	5	1	5
TB20	45.685976	7.30967	1	4	1	4
Tsp2	78.57443	17.32361	0	1	1	1
					
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
